Employee_ID,Name,Department,Role_Title,Age,Gender,Tenure_Years,Engagement_Score,Workload_Score,Exit_Interview_Feedback,Reason_For_Turnover,Knowledge_Dependency_Level,Key_Project_Participation,Productivity_Impact_Score,Performance_Score,Internal_Mobility_Participation,Learning_Development_Plan,Remote_Work_Status,Flexibility_Satisfaction,Recognition_Received,Predicted_Turnover_Risk,Retention_Action_Taken,Last_Engagement_Check,Voluntary_Turnover,Employee_Category,Tenure_Category,Engagement_Level,Performance_Level,Total_Employees,Is_High_Risk,Is_Turned_Over,Is_Remote,Is_Recognized,Engagement_Percentage,Performance_Percentage,Flexibility_Percentage,Retention_Success
1013,Employee_1013,Operations,Lead,22,Male,3.8,0.26,0.98,Lack of Growth,Relocation,Medium,Yes,7,4.5,Yes,No,Yes,8,1,High,Mentorship,2024-01-13,No,18-25,2-5 yrs,Low,High,1,Yes,No,Yes,Yes,26.0,90.0,80,Yes
1014,Employee_1014,Sales,Executive,40,Male,7.4,0.83,0.73,Management Conflict,Compensation,Medium,No,3,4.6,Yes,Yes,No,8,10,Low,Promotion Offered,2024-01-14,Yes,36-45,5-10 yrs,High,High,1,No,Yes,No,Yes,83.0,92.0,80,No
1015,Employee_1015,Finance,Intern,23,Non-Binary,15.6,0.79,0.67,Work-Life Balance,Better Opportunity,Medium,Yes,9,4.5,Yes,Yes,No,9,14,Low,Mentorship,2024-01-15,Yes,18-25,10-20 yrs,High,High,1,No,Yes,No,Yes,79.0,90.0,90,No
1016,Employee_1016,Marketing,Senior Developer,42,Male,1.1,0.92,0.66,Cultural Issues,Compensation,Medium,Yes,3,4.9,No,Yes,Yes,6,7,Medium,Mentorship,2024-01-16,No,36-45,<2 yrs,High,High,1,No,No,Yes,Yes,92.0,98.0,60,Yes
1017,Employee_1017,Operations,Manager,41,Male,13.6,0.39,0.57,Cultural Issues,Burnout,High,Yes,9,4.7,Yes,Yes,Yes,7,7,Medium,Training,2024-01-17,No,36-45,10-20 yrs,Low,High,1,No,No,Yes,Yes,39.0,94.0,70,Yes
1018,Employee_1018,Operations,Intern,44,Female,16.4,0.57,0.63,Management Conflict,Compensation,High,No,7,2.8,No,Yes,Yes,6,4,Low,Mentorship,2024-01-18,Yes,36-45,10-20 yrs,Medium,Average,1,No,Yes,Yes,Yes,57.0,56.0,60,No
1019,Employee_1019,Finance,Senior Developer,42,Non-Binary,18.7,0.35,0.74,Cultural Issues,Personal Reasons,High,No,3,2.9,No,Yes,Yes,7,14,High,Promotion Offered,2024-01-19,No,36-45,10-20 yrs,Low,Average,1,Yes,No,Yes,Yes,35.0,58.0,70,Yes
1020,Employee_1020,Marketing,Senior Developer,45,Non-Binary,17.6,0.5,0.95,Burnout,Relocation,Low,Yes,3,3.6,No,No,Yes,5,11,High,Training,2024-01-20,No,36-45,10-20 yrs,Medium,High,1,Yes,No,Yes,Yes,50.0,72.0,50,Yes
1021,Employee_1021,Sales,Senior Developer,25,Female,6.7,0.62,0.72,Lack of Growth,Better Opportunity,High,Yes,9,3.2,Yes,Yes,No,7,9,Medium,Salary Adjustment,2024-01-21,Yes,18-25,5-10 yrs,Medium,Average,1,No,Yes,No,Yes,62.0,64.0,70,No
1022,Employee_1022,It,Lead,33,Female,11.9,0.24,0.9,Management Conflict,Relocation,High,Yes,2,4.9,Yes,No,Yes,9,7,High,Training,2024-01-22,Yes,26-35,10-20 yrs,Low,High,1,Yes,Yes,Yes,Yes,24.0,98.0,90,No
1023,Employee_1023,Marketing,Lead,43,Male,2.0,0.77,0.9,Burnout,Compensation,High,Yes,2,3.0,No,No,No,7,4,High,Salary Adjustment,2024-01-23,No,36-45,<2 yrs,High,Average,1,Yes,No,No,Yes,77.0,60.0,70,Yes
1024,Employee_1024,Finance,Senior Developer,41,Male,5.5,0.63,0.66,Work-Life Balance,Better Opportunity,Medium,No,10,4.2,No,No,No,5,3,Low,Salary Adjustment,2024-01-24,No,36-45,5-10 yrs,Medium,High,1,No,No,No,Yes,63.0,84.0,50,Yes
1025,Employee_1025,Operations,Lead,39,Male,2.3,0.86,0.54,Burnout,Relocation,Medium,No,3,3.7,No,No,Yes,10,8,Low,Training,2024-01-25,No,36-45,2-5 yrs,High,High,1,No,No,Yes,Yes,86.0,74.0,100,Yes
1026,Employee_1026,Sales,Executive,22,Female,6.6,0.42,0.75,Cultural Issues,Personal Reasons,Medium,Yes,1,4.9,Yes,No,No,10,7,Medium,Mentorship,2024-01-26,No,18-25,5-10 yrs,Medium,High,1,No,No,No,Yes,42.0,98.0,100,Yes
1027,Employee_1027,Marketing,Senior Developer,51,Non-Binary,17.6,0.92,0.61,Lack of Growth,Burnout,Medium,Yes,2,4.2,No,Yes,Yes,7,3,Medium,Training,2024-01-27,No,46-55,10-20 yrs,High,High,1,No,No,Yes,Yes,92.0,84.0,70,Yes
1028,Employee_1028,It,Executive,54,Male,7.3,1.0,0.36,Work-Life Balance,Burnout,Medium,No,10,2.9,No,Yes,No,6,1,Low,Training,2024-01-28,Yes,46-55,5-10 yrs,High,Average,1,No,Yes,No,Yes,100.0,58.0,60,No
1029,Employee_1029,It,Executive,45,Female,11.5,0.94,0.56,Better Opportunity,Personal Reasons,High,Yes,1,2.6,No,No,No,7,1,High,Mentorship,2024-01-29,No,36-45,10-20 yrs,High,Average,1,Yes,No,No,Yes,94.0,52.0,70,Yes
1030,Employee_1030,Hr,Senior Developer,35,Non-Binary,9.0,0.82,1.0,Lack of Growth,Burnout,High,Yes,10,4.6,Yes,Yes,No,9,1,Low,Mentorship,2024-01-30,No,26-35,5-10 yrs,High,High,1,No,No,No,Yes,82.0,92.0,90,Yes
1031,Employee_1031,Hr,Manager,57,Female,9.4,0.85,0.33,Cultural Issues,Personal Reasons,Medium,No,5,4.7,Yes,Yes,Yes,9,13,Low,Mentorship,2024-01-31,No,56-65,5-10 yrs,High,High,1,No,No,Yes,Yes,85.0,94.0,90,Yes
1032,Employee_1032,Finance,Senior Developer,26,Male,19.4,0.66,0.79,Lack of Growth,Compensation,Medium,Yes,2,4.5,No,Yes,No,8,10,Medium,Mentorship,2024-02-01,Yes,26-35,10-20 yrs,Medium,High,1,No,Yes,No,Yes,66.0,90.0,80,No
1033,Employee_1033,Marketing,Senior Developer,32,Female,6.3,0.35,0.89,Better Opportunity,Personal Reasons,High,No,1,4.2,No,No,No,6,11,High,Mentorship,2024-02-02,Yes,26-35,5-10 yrs,Low,High,1,Yes,Yes,No,Yes,35.0,84.0,60,No
1034,Employee_1034,Marketing,Lead,45,Female,12.7,0.74,0.75,Better Opportunity,Burnout,High,Yes,8,3.0,No,Yes,No,6,13,Medium,Mentorship,2024-02-03,No,36-45,10-20 yrs,High,Average,1,No,No,No,Yes,74.0,60.0,60,Yes
1035,Employee_1035,Operations,Senior Developer,52,Female,8.7,0.77,0.7,Lack of Growth,Compensation,Medium,Yes,7,3.5,Yes,No,No,7,12,Medium,Training,2024-02-04,No,46-55,5-10 yrs,High,Average,1,No,No,No,Yes,77.0,70.0,70,Yes
1036,Employee_1036,Operations,Manager,34,Female,1.7,0.99,0.8,Work-Life Balance,Personal Reasons,Low,No,4,4.7,Yes,No,No,7,14,Low,Promotion Offered,2024-02-05,Yes,26-35,<2 yrs,High,High,1,No,Yes,No,Yes,99.0,94.0,70,No
1037,Employee_1037,Operations,Lead,37,Non-Binary,10.0,0.63,0.6,Burnout,Personal Reasons,Medium,No,8,2.4,No,No,Yes,9,12,Low,Promotion Offered,2024-02-06,Yes,36-45,5-10 yrs,Medium,Low,1,No,Yes,Yes,Yes,63.0,48.0,90,No
1038,Employee_1038,Hr,Analyst,45,Male,16.4,0.42,0.36,Work-Life Balance,Compensation,High,No,4,3.5,Yes,Yes,Yes,8,9,Medium,Promotion Offered,2024-02-07,Yes,36-45,10-20 yrs,Medium,Average,1,No,Yes,Yes,Yes,42.0,70.0,80,No
1039,Employee_1039,Marketing,Analyst,34,Non-Binary,2.4,0.75,0.97,Better Opportunity,Better Opportunity,Low,No,4,3.1,No,No,No,5,11,Low,Training,2024-02-08,No,26-35,2-5 yrs,High,Average,1,No,No,No,Yes,75.0,62.0,50,Yes
1040,Employee_1040,Marketing,Executive,45,Female,1.9,0.98,0.6,Management Conflict,Burnout,Medium,No,10,4.0,Yes,Yes,No,7,7,Low,Mentorship,2024-02-09,No,36-45,<2 yrs,High,High,1,No,No,No,Yes,98.0,80.0,70,Yes
1041,Employee_1041,It,Executive,47,Female,3.5,0.34,0.77,Management Conflict,Better Opportunity,High,No,10,3.9,No,Yes,No,6,5,High,Salary Adjustment,2024-02-10,Yes,46-55,2-5 yrs,Low,High,1,Yes,Yes,No,Yes,34.0,78.0,60,No
1042,Employee_1042,Hr,Manager,23,Male,15.4,0.46,0.67,Work-Life Balance,Compensation,High,Yes,3,3.7,Yes,No,No,10,0,High,Mentorship,2024-02-11,No,18-25,10-20 yrs,Medium,High,1,Yes,No,No,No,46.0,74.0,100,Yes
1043,Employee_1043,Sales,Intern,37,Male,14.6,0.63,0.34,Management Conflict,Compensation,High,Yes,2,2.8,No,No,No,7,11,Medium,Mentorship,2024-02-12,Yes,36-45,10-20 yrs,Medium,Average,1,No,Yes,No,Yes,63.0,56.0,70,No
1044,Employee_1044,Hr,Analyst,59,Non-Binary,11.5,0.34,0.97,Work-Life Balance,Relocation,Medium,No,9,2.5,No,No,Yes,8,12,High,Mentorship,2024-02-13,No,56-65,10-20 yrs,Low,Low,1,Yes,No,Yes,Yes,34.0,50.0,80,Yes
1045,Employee_1045,Sales,Executive,22,Non-Binary,9.6,0.22,0.85,Cultural Issues,Relocation,Medium,Yes,8,4.4,No,No,No,6,9,Medium,Promotion Offered,2024-02-14,No,18-25,5-10 yrs,Low,High,1,No,No,No,Yes,22.0,88.0,60,Yes
1046,Employee_1046,It,Analyst,32,Male,17.8,0.47,0.4,Work-Life Balance,Compensation,Low,Yes,3,5.0,Yes,Yes,Yes,10,3,High,Mentorship,2024-02-15,Yes,26-35,10-20 yrs,Medium,High,1,Yes,Yes,Yes,Yes,47.0,100.0,100,No
1047,Employee_1047,Finance,Manager,56,Non-Binary,15.5,0.89,0.99,Cultural Issues,Relocation,High,No,6,2.5,No,No,Yes,10,2,Low,Mentorship,2024-02-16,Yes,56-65,10-20 yrs,High,Low,1,No,Yes,Yes,Yes,89.0,50.0,100,No
1048,Employee_1048,Marketing,Manager,50,Female,16.3,0.23,0.82,Burnout,Personal Reasons,High,Yes,4,2.2,No,Yes,Yes,8,9,Low,Mentorship,2024-02-17,Yes,46-55,10-20 yrs,Low,Low,1,No,Yes,Yes,Yes,23.0,44.0,80,No
1049,Employee_1049,It,Intern,58,Female,16.4,0.54,0.63,Better Opportunity,Better Opportunity,Low,No,6,4.2,No,No,No,6,10,Medium,Salary Adjustment,2024-02-18,No,56-65,10-20 yrs,Medium,High,1,No,No,No,Yes,54.0,84.0,60,Yes
1050,Employee_1050,Marketing,Intern,38,Male,13.0,0.81,0.73,Management Conflict,Compensation,Medium,No,7,3.0,No,No,Yes,7,13,High,Salary Adjustment,2024-02-19,Yes,36-45,10-20 yrs,High,Average,1,Yes,Yes,Yes,Yes,81.0,60.0,70,No
1051,Employee_1051,Operations,Lead,49,Non-Binary,9.4,0.96,0.37,Burnout,Personal Reasons,High,No,7,2.6,Yes,Yes,No,8,6,Low,Promotion Offered,2024-02-20,Yes,46-55,5-10 yrs,High,Average,1,No,Yes,No,Yes,96.0,52.0,80,No
1052,Employee_1052,Finance,Manager,50,Female,17.4,0.99,0.69,Burnout,Burnout,Low,No,9,3.6,Yes,Yes,Yes,9,9,Medium,Salary Adjustment,2024-02-21,Yes,46-55,10-20 yrs,High,High,1,No,Yes,Yes,Yes,99.0,72.0,90,No
1053,Employee_1053,Finance,Executive,24,Male,18.6,0.54,0.35,Better Opportunity,Burnout,High,No,5,4.0,No,Yes,No,6,4,High,Promotion Offered,2024-02-22,Yes,18-25,10-20 yrs,Medium,High,1,Yes,Yes,No,Yes,54.0,80.0,60,No
1054,Employee_1054,It,Analyst,31,Non-Binary,1.0,0.96,0.68,Lack of Growth,Relocation,Medium,No,4,2.6,Yes,Yes,Yes,8,0,Low,Training,2024-02-23,No,26-35,<2 yrs,High,Average,1,No,No,Yes,No,96.0,52.0,80,Yes
1055,Employee_1055,Finance,Senior Developer,35,Female,1.5,0.23,0.69,Lack of Growth,Relocation,Medium,No,10,5.0,No,No,Yes,8,11,High,Mentorship,2024-02-24,Yes,26-35,<2 yrs,Low,High,1,Yes,Yes,Yes,Yes,23.0,100.0,80,No
1056,Employee_1056,Sales,Intern,33,Non-Binary,19.2,0.8,0.91,Burnout,Personal Reasons,Low,No,1,3.0,Yes,No,No,5,5,Medium,Mentorship,2024-02-25,No,26-35,10-20 yrs,High,Average,1,No,No,No,Yes,80.0,60.0,50,Yes
1057,Employee_1057,Finance,Senior Developer,51,Non-Binary,5.9,0.71,0.81,Burnout,Burnout,Low,Yes,7,2.9,No,No,No,5,3,Medium,Mentorship,2024-02-26,Yes,46-55,5-10 yrs,High,Average,1,No,Yes,No,Yes,71.0,58.0,50,No
1058,Employee_1058,Marketing,Executive,53,Non-Binary,17.5,0.4,0.47,Better Opportunity,Compensation,High,No,4,3.3,No,Yes,Yes,10,9,Medium,Salary Adjustment,2024-02-27,Yes,46-55,10-20 yrs,Low,Average,1,No,Yes,Yes,Yes,40.0,66.0,100,No
1059,Employee_1059,Marketing,Intern,53,Male,8.1,0.61,0.92,Work-Life Balance,Better Opportunity,Medium,Yes,7,4.2,No,No,No,7,14,Low,Mentorship,2024-02-28,Yes,46-55,5-10 yrs,Medium,High,1,No,Yes,No,Yes,61.0,84.0,70,No
1060,Employee_1060,Marketing,Senior Developer,53,Female,2.8,0.3,0.7,Work-Life Balance,Relocation,Medium,No,5,4.6,No,Yes,Yes,9,14,Medium,Mentorship,2024-02-29,No,46-55,2-5 yrs,Low,High,1,No,No,Yes,Yes,30.0,92.0,90,Yes
1061,Employee_1061,Marketing,Executive,47,Male,2.1,0.9,0.72,Management Conflict,Personal Reasons,Low,Yes,7,3.0,No,Yes,Yes,9,5,High,Mentorship,2024-03-01,No,46-55,2-5 yrs,High,Average,1,Yes,No,Yes,Yes,90.0,60.0,90,Yes
1062,Employee_1062,Sales,Analyst,22,Female,3.6,0.49,0.42,Better Opportunity,Relocation,Low,No,0,2.4,No,No,No,8,6,Low,Promotion Offered,2024-03-02,No,18-25,2-5 yrs,Medium,Low,1,No,No,No,Yes,49.0,48.0,80,Yes
1063,Employee_1063,Hr,Executive,23,Female,5.4,0.7,0.9,Lack of Growth,Personal Reasons,High,No,8,2.8,Yes,Yes,No,8,8,Medium,Training,2024-03-03,Yes,18-25,5-10 yrs,Medium,Average,1,No,Yes,No,Yes,70.0,56.0,80,No
1064,Employee_1064,Operations,Lead,38,Male,10.0,0.33,0.95,Better Opportunity,Burnout,Medium,Yes,8,2.3,Yes,Yes,No,10,0,Medium,Mentorship,2024-03-04,Yes,36-45,5-10 yrs,Low,Low,1,No,Yes,No,No,33.0,46.0,100,No
1065,Employee_1065,It,Intern,51,Male,14.2,0.36,0.84,Better Opportunity,Relocation,High,Yes,2,3.9,Yes,Yes,No,8,5,Low,Mentorship,2024-03-05,Yes,46-55,10-20 yrs,Low,High,1,No,Yes,No,Yes,36.0,78.0,80,No
1066,Employee_1066,Marketing,Manager,28,Female,19.7,0.99,0.96,Management Conflict,Personal Reasons,High,No,4,4.2,No,Yes,Yes,6,12,Medium,Training,2024-03-06,Yes,26-35,10-20 yrs,High,High,1,No,Yes,Yes,Yes,99.0,84.0,60,No
1067,Employee_1067,Finance,Analyst,48,Female,9.1,0.8,0.51,Work-Life Balance,Personal Reasons,Low,No,6,3.3,Yes,Yes,Yes,7,10,High,Training,2024-03-07,Yes,46-55,5-10 yrs,High,Average,1,Yes,Yes,Yes,Yes,80.0,66.0,70,No
1068,Employee_1068,Marketing,Senior Developer,30,Female,10.6,0.97,0.9,Burnout,Relocation,Medium,Yes,7,4.9,No,Yes,Yes,7,7,Low,Mentorship,2024-03-08,Yes,26-35,10-20 yrs,High,High,1,No,Yes,Yes,Yes,97.0,98.0,70,No
1069,Employee_1069,Finance,Intern,43,Non-Binary,10.7,0.44,0.64,Lack of Growth,Better Opportunity,Low,No,6,4.2,Yes,No,No,5,3,High,Training,2024-03-09,No,36-45,10-20 yrs,Medium,High,1,Yes,No,No,Yes,44.0,84.0,50,Yes
1070,Employee_1070,Operations,Manager,55,Female,11.0,0.33,0.41,Management Conflict,Compensation,High,Yes,2,3.1,No,Yes,Yes,10,9,High,Salary Adjustment,2024-03-10,No,46-55,10-20 yrs,Low,Average,1,Yes,No,Yes,Yes,33.0,62.0,100,Yes
1071,Employee_1071,Operations,Executive,22,Male,10.6,0.6,0.77,Lack of Growth,Burnout,High,No,6,2.3,Yes,No,No,8,8,Medium,Training,2024-03-11,No,18-25,10-20 yrs,Medium,Low,1,No,No,No,Yes,60.0,46.0,80,Yes
1072,Employee_1072,Operations,Manager,30,Male,0.7,0.6,0.78,Lack of Growth,Relocation,Medium,No,0,3.5,No,Yes,Yes,8,3,Low,Promotion Offered,2024-03-12,Yes,26-35,<2 yrs,Medium,Average,1,No,Yes,Yes,Yes,60.0,70.0,80,No
1073,Employee_1073,Finance,Intern,41,Male,0.5,0.34,0.5,Work-Life Balance,Relocation,Medium,Yes,4,3.5,Yes,No,No,6,3,Medium,Training,2024-03-13,Yes,36-45,<2 yrs,Low,Average,1,No,Yes,No,Yes,34.0,70.0,60,No
1074,Employee_1074,Marketing,Intern,40,Female,2.4,0.79,0.32,Burnout,Better Opportunity,Medium,No,8,3.7,No,No,Yes,8,11,High,Mentorship,2024-03-14,Yes,36-45,2-5 yrs,High,High,1,Yes,Yes,Yes,Yes,79.0,74.0,80,No
1075,Employee_1075,Operations,Lead,57,Female,2.5,0.49,0.44,Burnout,Burnout,Medium,No,1,4.0,Yes,No,No,8,13,Medium,Training,2024-03-15,No,56-65,2-5 yrs,Medium,High,1,No,No,No,Yes,49.0,80.0,80,Yes
1076,Employee_1076,Sales,Lead,25,Non-Binary,14.2,0.35,0.58,Work-Life Balance,Relocation,Low,No,2,2.8,No,Yes,No,7,8,Medium,Promotion Offered,2024-03-16,Yes,18-25,10-20 yrs,Low,Average,1,No,Yes,No,Yes,35.0,56.0,70,No
1077,Employee_1077,Finance,Manager,30,Non-Binary,4.5,0.47,0.42,Management Conflict,Better Opportunity,Low,Yes,8,2.0,Yes,No,Yes,8,12,High,Promotion Offered,2024-03-17,Yes,26-35,2-5 yrs,Medium,Low,1,Yes,Yes,Yes,Yes,47.0,40.0,80,No
1078,Employee_1078,Finance,Executive,43,Male,17.9,0.65,0.44,Cultural Issues,Compensation,Low,No,2,4.4,Yes,No,No,10,3,Medium,Training,2024-03-18,No,36-45,10-20 yrs,Medium,High,1,No,No,No,Yes,65.0,88.0,100,Yes
1079,Employee_1079,Marketing,Manager,39,Non-Binary,18.6,0.78,0.57,Management Conflict,Personal Reasons,Low,Yes,7,4.5,Yes,No,No,6,8,High,Salary Adjustment,2024-03-19,Yes,36-45,10-20 yrs,High,High,1,Yes,Yes,No,Yes,78.0,90.0,60,No
1080,Employee_1080,Finance,Intern,33,Non-Binary,19.5,0.59,0.97,Management Conflict,Compensation,High,Yes,5,4.7,Yes,No,Yes,6,0,Low,Training,2024-03-20,No,26-35,10-20 yrs,Medium,High,1,No,No,Yes,No,59.0,94.0,60,Yes
1081,Employee_1081,Finance,Intern,30,Male,18.8,0.62,0.83,Cultural Issues,Compensation,Low,Yes,6,4.9,Yes,No,Yes,9,7,High,Mentorship,2024-03-21,Yes,26-35,10-20 yrs,Medium,High,1,Yes,Yes,Yes,Yes,62.0,98.0,90,No
1082,Employee_1082,Operations,Senior Developer,27,Female,5.8,0.31,0.52,Lack of Growth,Compensation,Low,Yes,4,2.5,Yes,Yes,No,9,1,Low,Promotion Offered,2024-03-22,Yes,26-35,5-10 yrs,Low,Low,1,No,Yes,No,Yes,31.0,50.0,90,No
1083,Employee_1083,Marketing,Lead,40,Non-Binary,10.4,0.93,0.97,Better Opportunity,Compensation,Medium,No,9,3.1,No,Yes,Yes,5,7,High,Training,2024-03-23,Yes,36-45,10-20 yrs,High,Average,1,Yes,Yes,Yes,Yes,93.0,62.0,50,No
1084,Employee_1084,Operations,Senior Developer,28,Female,3.9,0.94,0.75,Cultural Issues,Personal Reasons,High,Yes,6,4.6,Yes,Yes,Yes,6,4,High,Salary Adjustment,2024-03-24,No,26-35,2-5 yrs,High,High,1,Yes,No,Yes,Yes,94.0,92.0,60,Yes
1085,Employee_1085,Operations,Analyst,37,Male,16.2,0.75,0.62,Better Opportunity,Burnout,Low,Yes,9,4.8,No,No,No,10,12,Medium,Salary Adjustment,2024-03-25,Yes,36-45,10-20 yrs,High,High,1,No,Yes,No,Yes,75.0,96.0,100,No
1086,Employee_1086,Marketing,Intern,26,Male,17.8,0.21,0.63,Lack of Growth,Burnout,High,No,10,2.0,Yes,No,Yes,6,12,Low,Salary Adjustment,2024-03-26,No,26-35,10-20 yrs,Low,Low,1,No,No,Yes,Yes,21.0,40.0,60,Yes
1087,Employee_1087,It,Senior Developer,37,Non-Binary,17.1,0.63,0.59,Cultural Issues,Better Opportunity,High,No,9,3.2,No,Yes,Yes,10,13,High,Mentorship,2024-03-27,No,36-45,10-20 yrs,Medium,Average,1,Yes,No,Yes,Yes,63.0,64.0,100,Yes
1088,Employee_1088,Operations,Manager,22,Male,9.0,0.7,0.46,Work-Life Balance,Better Opportunity,High,Yes,2,2.3,Yes,No,Yes,10,0,Medium,Mentorship,2024-03-28,No,18-25,5-10 yrs,Medium,Low,1,No,No,Yes,No,70.0,46.0,100,Yes
1089,Employee_1089,Sales,Lead,58,Male,15.3,1.0,0.57,Management Conflict,Relocation,High,Yes,10,4.4,No,No,Yes,7,0,Medium,Mentorship,2024-03-29,Yes,56-65,10-20 yrs,High,High,1,No,Yes,Yes,No,100.0,88.0,70,No
1090,Employee_1090,Sales,Lead,40,Male,2.4,1.0,0.67,Cultural Issues,Compensation,Medium,No,4,4.2,No,No,No,9,12,Low,Mentorship,2024-03-30,No,36-45,2-5 yrs,High,High,1,No,No,No,Yes,100.0,84.0,90,Yes
1091,Employee_1091,Finance,Executive,58,Non-Binary,1.3,0.89,0.67,Cultural Issues,Compensation,Medium,No,5,4.3,No,No,Yes,10,5,Medium,Mentorship,2024-03-31,No,56-65,<2 yrs,High,High,1,No,No,Yes,Yes,89.0,86.0,100,Yes
1092,Employee_1092,Sales,Manager,38,Non-Binary,15.2,0.25,0.83,Lack of Growth,Personal Reasons,High,No,8,3.2,Yes,No,No,5,0,Medium,Training,2024-04-01,Yes,36-45,10-20 yrs,Low,Average,1,No,Yes,No,No,25.0,64.0,50,No
1093,Employee_1093,Finance,Executive,47,Non-Binary,8.8,0.96,0.55,Work-Life Balance,Compensation,High,Yes,3,3.2,Yes,No,Yes,7,12,High,Mentorship,2024-04-02,Yes,46-55,5-10 yrs,High,Average,1,Yes,Yes,Yes,Yes,96.0,64.0,70,No
1094,Employee_1094,It,Senior Developer,43,Male,19.9,0.69,0.8,Cultural Issues,Personal Reasons,High,Yes,7,2.8,Yes,Yes,Yes,10,1,Low,Mentorship,2024-04-03,Yes,36-45,10-20 yrs,Medium,Average,1,No,Yes,Yes,Yes,69.0,56.0,100,No
1095,Employee_1095,Marketing,Analyst,29,Female,2.4,0.84,0.7,Work-Life Balance,Relocation,Medium,Yes,7,3.1,No,No,No,7,10,Low,Mentorship,2024-04-04,No,26-35,2-5 yrs,High,Average,1,No,No,No,Yes,84.0,62.0,70,Yes
